nombre,correo,contrasena,username,telefono_contacto,run,puntos,jornada,isapre,contrato,dv
David Salcido Carvajal,david2699917@viajes.cl,8Yz6ASxO,Davidcarvajal769,+56 9 9740 0257,14977127,,Nocturno,Colmena,Full time,1
Guillermina Cadena Correa,guillermina2190206@viajes.cl,8R5ZPu0aY2E,gucaco886,+56 9 1037 7492,26193778,,Diurno,,Part time,6
Horacio Barrera Guzmán,Horacioguzmán500@tourket.com,FE1HRVXtlqy,horacio2677690,+56 2 5377 2414,16494840,,,,,4
Ramiro Almanza Rodríquez,ramiro4979117@viajes.cl,2HwGwQXP,raalro558,+56 2 0328 1669,27795704,,Nocturno,Banmédica,,3
Enrique Zepeda Tamez,Enriquetamez108@viajes.cl,ujqlvSCcDG1U,Enriquetamez119,+56 2 7495 9613,24319908,,Nocturno,Banmédica,Full time,5
Rodrigo Cabán Patiño,rocapa636@viajes.cl,JQS0wsTBdLxkT,rocapa707,+56 2 7765 0820,13058842,,,Banmédica,Part time,5
Sr. Fernando Negrón Burgos,sr.9387177@viajes.cl,4HMHU4mEG,Sr.burgos144,+56 9 1944 2824,24619719,,,Fonasa,Full time,9
Sra. María José Pérez Mireles,srmajopémi861@viajes.cl,qPofmYY2ITi42,sra.6875739,+56 9 7447 7236,29589153,,Diurno,Colmena,Full time,K
Gerardo Tórrez Mojica,Gerardomojica966@viajes.cl,PzhU8p7e,getómo810,+56 9 7871 9100,16267855,,Diurno,Banmédica,Full time,8
Raúl Henríquez Rangel,Raúlrangel650@marmol.com,BiZaXw0JZ,raúl2191630,+56 9 7752 9622,24074901,,,,,7
Sr. Josefina Menéndez Tapia,Sr.tapia171@tourket.com,Epqk4Q3EGUOh8e,sr.8420201,+56 2 5882 4663,24732775,-17563,,,,4
José Eduardo Téllez Montenegro,joedtémo768@viajes.cl,RvW7WE9s46u,joedtémo972,+56 9 6494 3904,27709614,,Diurno,Banmédica,Full time,5
Octavio Delafuente Santillán,octavio917278@viajes.cl,f76bPikJDfQ0g2OP,Octaviosantillán507,+56 2 1296 5089,21739741,,Diurno,Más vida,Full time,3
Vicente Vigil Miranda,vivimi661@viajes.cl,xLDrItA9G0tdD,vicente5975343,+56 9 4252 9991,19968229,,Nocturno,Banmédica,Full time,6
Federico Saucedo Pérez,fesapé914@viajes.cl,6YfHam7YLH29V,federico7268947,,18805412,,Nocturno,Colmena,Full time,9
Ramón Campos Arguello,Ramónarguello372@viajes.cl,AVm7l444G8Ww,racaar607,+56 2 8989 5082,16683113,,Nocturno,,Part time,K
Sta. Raúl Jaimes Escobedo,Sta.escobedo349@outluc.com,oifKOS95DtRHo,Sta.escobedo434,+56 9 9574 5381,15644241,,,,,0
Germán Reynoso Vélez,Germánvélez748@outluc.com,9QCLfgbmlY,Germánvélez812,+56 9 5595 6936,20941723,-13314,,,,5
Patricio Valenzuela Archuleta,pavaar863@viajes.cl,SF9vSgUFf,pavaar219,+56 9 9774 0228,19539898,,Diurno,Fonasa,Full time,4
José Eduardo Montemayor Portillo,joedmopo307@viajes.cl,Dw29PbyM,josé2274457,+56 9 9181 4671,24448382,,Diurno,Fonasa,Part time,8
Sra. Gustavo Espinoza Montaño,Sra.montaño428@viajes.cl,cM4t2qqwK,Sra.montaño578,+56 2 4905 5397,11723622,,Nocturno,Banmédica,Part time,6
Jorge Luis Ferrer Palomino,jolufepa617@viajes.cl,EMiAo2bZjgnY,Jorgepalomino203,+56 2 9868 8891,13632285,,Nocturno,Más vida,Full time,0
María Teresa Romero Valencia,maría5347415@viajes.cl,PT7Uavsed,materova517,+56 2 0696 1277,10202758,,Nocturno,Banmédica,Part time,2
Samuel Camarillo Cisneros,samuel9126473@viajes.cl,52sewVOIVbG,sacaci301,+56 9 4918 0785,15231907,,Nocturno,Consalud,Part time,K
Soledad Niño Soto,soledad4866400@viajes.cl,UH892czCAJCY,Soledadsoto874,+56 2 8481 8858,11027080,,Diurno,Consalud,Full time,1
María Luisa Villanueva Montero,Maríamontero518@outluc.com,23mWouy8UWu,maluvimo622,+56 2 2294 9596,15650157,-388,,,,3
Berta Borrego Fajardo,bebofa924@viajes.cl,IYfsaZ5ssWK,Bertafajardo432,+56 2 2471 9204,25428807,,Nocturno,Banmédica,Part time,1
Diana Rascón Farías,Dianafarías798@viajes.cl,95PqjZgSYjoVc0r0,Dianafarías768,+56 2 8008 0799,27803491,,Nocturno,,Part time,7
Sra. Cristian Rosales Molina,sra.9139309@viajes.cl,YXAWv4cK4X,sra.9441384,+56 2 8471 7550,13936912,,Diurno,Más vida,Full time,2
Sr. Rosalia Monroy Yáñez,srromoyá724@viajesanma.com,5ZOC5MwOGLV4n,sr.1738765,+56 9 9329 3740,23181324,-7975,,,,1
Ana Bermúdez Malave,ana6425378@viajes.cl,ll1q462Q0yn,ana9417588,+56 2 5957 4498,13680630,,Nocturno,Banmédica,Full time,0
Julio César Nava Tello,jucénate198@viajes.cl,SZXy5X2r1A,julio2000229,+56 2 9088 2171,16294735,,Diurno,Banmédica,Part time,4
Sta. Homero Ramírez Galindo,sthoraga190@viajes.cl,4LuQkRFAU,sthoraga585,+56 2 6536 7318,28532542,,Nocturno,Colmena,Full time,0
Clemente Malave Granados,clmagr532@viajes.cl,8YB3uDYuESqN5g,clmagr638,+56 9 1727 4361,27841724,,Diurno,,Full time,7
Timoteo Santillán Alvarado,timoteo6843858@viajes.cl,zo3Fdw0l,Timoteoalvarado749,+56 9 5748 3207,23499588,,Diurno,Colmena,Part time,K
María José Rolón Rubio,Maríarubio434@viajes.cl,Uybaw6Hh7z1N41p,Maríarubio509,+56 2 9561 4733,25136877,,Diurno,Consalud,Part time,5
Laura Zelaya Perea,laura896645@viajes.cl,TneFi30hibX3kChb,lazepe759,+56 9 7129 3649,13225868,,Diurno,Colmena,Full time,6
María Teresa Villaseñor Maestas,Maríamaestas443@viajes.cl,2SCoD020ucekTF,Maríamaestas617,+56 2 5408 1767,14983558,,Diurno,Banmédica,,K
Fernando Soto Maestas,fesoma882@viajes.cl,Mv4yC6iTt0pxY2f,Fernandomaestas339,+56 9 7809 5197,29550446,,Nocturno,Más vida,Full time,3
Sta. Carmen Baeza Rocha,Sta.rocha539@viajes.cl,j5oIy9Lg8vDJF4,Sta.rocha961,,29128249,,Nocturno,Banmédica,Full time,0
Andrés Rael Valencia,Andrésvalencia995@viajes.cl,7dTQrwy3c,andrés6272380,+56 2 0792 0806,12114406,,Nocturno,,Part time,9
Sra. Marcos Gallegos Ortega,Sra.ortega288@viajes.cl,wg6h1DJOFeJ,srmagaor678,+56 2 1479 2319,20036248,,Nocturno,Fonasa,,9
Sra. Julio Esquibel Águilar,sra.6979334@viajes.cl,b26XvVFzMYQ1Lo,sra.9533111,+56 9 6568 0000,19374788,,Diurno,Colmena,,4
Maricarmen Mora Carmona,mamoca720@viajes.cl,B55U6kTTtB,maricarmen1759643,+56 9 2241 3466,26301030,,Nocturno,Más vida,,2
Alberto Candelaria Tejada,alberto1905433@edubus.cal,Rq5yv3IZZk,alcate181,+56 2 0032 0663,21063777,,,,,K
Amalia Zamora Gálvez,Amaliagálvez582@viajes.cl,i5taoQMwtW,amalia4806455,+56 9 4880 4772,29363861,,Diurno,Banmédica,Part time,6
Leticia Tafoya García,Leticiagarcía122@viajes.cl,DyM0pHwuI4RWi4,leticia2430329,+56 9 2068 5986,12052920,,Nocturno,Más vida,Part time,K
Sr. Berta Castillo Orta,Sr.orta582@viajes.cl,AyZZ8TFl,srbecaor839,+56 2 6148 0070,26724983,,Diurno,Colmena,Part time,0
Gabriel Jimínez Regalado,gajire460@viajes.cl,IF2qApoQCSR13,Gabrielregalado882,+56 2 7536 2697,17041430,,Diurno,Fonasa,Full time,6
María Eugenia Matos Soria,maeumaso244@viajes.cl,BOlslyG40Y8,maeumaso929,,16395413,,Nocturno,Banmédica,Full time,3
María Cristina Cruz Lovato,macrcrlo627@viajes.cl,ZOor5HEBJh021NYy,Maríalovato859,+56 2 9504 3709,16422209,,Diurno,Consalud,Full time,8
Cecilia Tijerina Porras,Ceciliaporras578@outluc.com,2BXqNk2R,Ceciliaporras280,+56 9 1006 1624,16405465,,,,,9
Hernán Osorio Torres,heosto940@tourket.com,91EDZo2e,heosto266,+56 9 1277 9105,12684816,,,,,1
Ramiro Guerrero Puente,Ramiropuente583@marmol.com,qWnRItwZ5rpNrE,ragupu791,+56 2 6579 3957,17428386,,,,,9
Pilar Urrutia Chacón,piurch784@viajes.cl,hvZM2uvPNf,piurch822,+56 9 5564 8534,20154612,,Diurno,Consalud,Full time,5
Beatriz Salazar Águilar,beatriz5107351@viajes.cl,DymdQU5Pob9,besaág653,+56 2 6789 8894,22968538,,Nocturno,Fonasa,Full time,4
Claudia Treviño Pulido,cltrpu724@marmol.com,gafC6cbD,claudia8300795,+56 2 0999 8479,28392581,-13533,,,,1
Juan Uribe Montero,juan4715798@outluc.com,sVOo7dYv0C28uP,juan3100337,+56 2 0477 0316,19895845,-10317,,,,K
Sta. Gilberto Loera Mendoza,sta.6708100@viajes.cl,lCDQG0dbW,stgilome519,,14541115,,Diurno,Fonasa,Part time,7
Bernardo Montero Estrada,bemoes831@viajes.cl,djxinQ596,bemoes970,+56 9 5916 2971,11959999,,Diurno,Más vida,Full time,7
Raquel Mota Valdez,Raquelvaldez225@viajes.cl,WfrkJuE1lD12va3F,ramova520,+56 2 7768 8235,19837234,,Nocturno,Colmena,,K
Bernardo Prieto Maya,Bernardomaya294@tourket.com,gZ56o7577Um,beprma415,+56 9 3581 2912,10630881,,,,,0
Gilberto Longoria Márquez,gilomá332@viajesanma.com,VEV70147RoYxjH,gilberto5632173,+56 2 1633 8710,15022445,-27537,,,,4
Estela Ortiz Lebrón,estela8925147@viajes.cl,8fnIQzkXi2aQzkh,estela9622886,+56 2 1067 9101,21401036,,Nocturno,Banmédica,Full time,4
Juana Gaitán Vargas,Juanavargas840@outluc.com,Pce5FWHg8XUZxTo,juana6400153,+56 9 9319 9852,16269357,-4921,,,,3
Roberto Serna Domínquez,Robertodomínquez641@viajes.cl,S3bgHfOsfCY8x7kk,roberto1095712,+56 2 6504 1857,24129133,,Diurno,Banmédica,Full time,2
Javier Ortega Casanova,javier3481954@viajes.cl,LgCXy6GkA,Javiercasanova271,+56 9 4717 4085,27471797,,Nocturno,Colmena,Full time,1
María Polanco Negrete,mapone321@viajes.cl,mWSgI4Q0DhZU,Maríanegrete121,,18665084,,Diurno,,Part time,0
Gregorio Rosales Frías,gregorio529396@viajes.cl,dGz7QCEA,grrofr279,+56 9 3606 6345,13628941,,,Más vida,Part time,1
Ana Carranza Carranza,ancaca506@viajes.cl,biW2LlL0tP,ana9552945,+56 9 4298 1370,25325792,,Diurno,Fonasa,Part time,K
Estela Delagarza Molina,estela8832682@viajes.cl,enuyR6arz3KCHvcP,esdemo672,+56 9 6922 1092,17394039,,Nocturno,Banmédica,Full time,4
Dolores Alejandro Caldera,dolores8554213@viajes.cl,rHla1wduwqoKrFF,dolores6457856,+56 9 5136 5136,13838945,,Nocturno,Fonasa,Part time,6
Sra. Ana Luisa Salgado Guzmán,sranlusagu985@viajes.cl,q640WDPsLQJ3yD,sra.9900831,+56 9 5471 9273,20248809,,Diurno,Colmena,Part time,9
Sta. Juan Carrera Gallardo,stjucaga988@viajes.cl,7ApyzENPtCNzL,stjucaga775,,15264854,,Nocturno,Banmédica,Part time,5
Germán Delgadillo Briseño,Germánbriseño409@viajesanma.com,V3Hhll0I,gedebr336,+56 2 0016 1550,21856262,,,,,0
Sr. Salvador Hernández Chapa,sr.627752@outluc.com,LlluyV5JZc14M,Sr.chapa558,+56 2 7372 8218,18703497,-7661,,,,3
Andrea Orta Pabón,anorpa297@viajes.cl,9riBPZvJEz,andrea8346826,+56 2 3891 7494,16203420,,Nocturno,Fonasa,Part time,0
Marcos Carrasquillo Aragón,macaar807@viajes.cl,UbtwEg7yA53v,macaar918,+56 2 9142 7631,16313499,,Nocturno,Más vida,Full time,3
Alfredo Cervántez Gálvez,alcegá275@viajes.cl,PlB6JgNO,alcegá638,+56 9 3961 7808,26643230,,Nocturno,Fonasa,Full time,5
Mariano Delarosa Heredia,Marianoheredia641@viajes.cl,v5P7BQMlenn9,madehe403,+56 9 9384 8946,29760757,,Nocturno,Más vida,Full time,K
Sta. Ángela Urías Arguello,Sta.arguello397@marmol.com,CibO1Yvd6f,stánurar636,,20274860,,,,,0
Carlos Tejeda Gollum,Carlosgollum406@viajes.cl,V3TglKmRX1Tl1K,carlos6747382,+56 2 7206 3169,25361825,,Diurno,Colmena,Part time,6
Teodoro Granados Casillas,teodoro6192309@viajes.cl,fahuP5iAKF,tegrca231,+56 2 9724 5794,26625333,,Diurno,Consalud,Part time,8
Verónica Pedraza Delafuente,verónica1107159@viajes.cl,hQA2u65UTv0,vepede924,+56 9 1764 8822,14071024,,Diurno,,Full time,5
Homero Arevalo Fernández,hoarfe244@viajes.cl,vK6PKLhPuIRECWqM,hoarfe199,+56 2 9426 5072,21175541,,Diurno,Más vida,Part time,5
Sra. Octavio Concepción Maya,sroccoma170@viajes.cl,5YbVb1Rz,sra.123968,,10945016,,Diurno,Colmena,Full time,2
Andrés Nieto Peralta,Andrésperalta631@viajes.cl,X2kf2WCW,annipe654,+56 2 2881 9116,19615149,,Nocturno,Más vida,Full time,4
Alfonso Bustamante Tamez,albuta656@viajes.cl,tv6BLOtsuk,Alfonsotamez196,+56 2 4513 6384,10158604,,Nocturno,Fonasa,Part time,9
Sr. Claudio Delatorre Zaragoza,sr.6831640@edubus.cal,AVwqSYDBL1,srcldeza559,+56 2 5882 2691,17521740,,,,,1
Dolores Vela Fernández,dovefe861@viajes.cl,2QNQLWMQVcglq,dovefe370,+56 2 1342 5687,28163019,,Nocturno,Más vida,Full time,9
Bernardo Cordero Cazares,becoca497@viajes.cl,0s446c0i4hjCd1Ye,bernardo3720914,+56 9 9899 5636,24407933,,,Banmédica,Part time,4
Isabel Garica Rascón,Isabelrascón708@tourket.com,v3YtOKBM0L,Isabelrascón148,+56 2 3576 3849,28973957,-4305,,,,2
José Eduardo Cavazos Aguayo,Joséaguayo991@viajes.cl,Q1t0tU6r,josé6562661,+56 9 2560 7092,25414294,,Nocturno,Fonasa,,8
Alicia Matías Urrutia,alicia3200638@viajes.cl,nzRQMMgTos3U,almaur445,+56 2 4919 1976,29368406,,Diurno,Banmédica,Part time,5
Joaquín Sánchez Delatorre,Joaquíndelatorre512@viajes.cl,ScUIM5tbmKic6IM,joaquín8053597,+56 2 4883 5789,10551307,,Nocturno,Más vida,Full time,0
Jorge Villareal Garza,jorge4122526@viajes.cl,BVwZsY2RXj,Jorgegarza198,+56 2 6532 6422,12902366,,Diurno,Banmédica,Part time,K
Sta. Jacobo Rodrígez Holguín,sta.6490785@viajes.cl,ZXJuZ2Cgk,sta.4763700,+56 9 6310 7587,20371233,,,Consalud,Full time,2
Sr. Berta Ocasio Mendoza,sr.8238424@viajes.cl,B2ypQ7GKRQ,Sr.mendoza942,+56 9 9919 3850,13668864,,Diurno,Banmédica,Part time,2
Ignacio Gamez Cervántez,ignacio328827@edubus.cal,CYs38xWCA5Sdk6,ignacio9871692,+56 2 8701 1051,27562889,,,,,1
Sta. Sonia Nieves Deleón,Sta.deleón863@outluc.com,Hl7dL3uc80PgHn,stsonide813,+56 9 7293 0276,17830554,,,,,9
Sr. Juan Carlos Rendón Almanza,sr.4206103@wass.com,Bmiq1S6OF0cTI7am,sr.7699854,+56 9 4830 2517,24070275,-8630,,,,4
Pilar Villanueva Cervántez,pivice769@viajes.cl,5QnkqChzco,Pilarcervántez129,+56 2 7753 7993,27447201,,Diurno,Banmédica,Full time,4
Adán Ávila Martínez,adán3347212@viajes.cl,W9d9QDciahNx,adávma982,+56 9 1036 5956,16286959,,Nocturno,Colmena,Full time,0
Caridad Cardona Santacruz,cacasa738@viajes.cl,NghG0w1P1dIRo7,cacasa765,+56 9 1201 6028,21822981,,Nocturno,Fonasa,Part time,6
Antonia Ávalos Tovar,anávto342@viajes.cl,CikPhoDyH1Pb,anávto964,+56 2 5350 4793,25127192,,,Fonasa,Part time,5
Alfredo Hernandes Benavídez,Alfredobenavídez720@viajes.cl,Fm8mi00EdQlNxa0L,alhebe227,+56 9 8736 9625,23921538,,Diurno,Banmédica,Part time,6
Sta. Ricardo Velásquez Quintero,sta.4527340@viajes.cl,FOMzjI8FUCaX,sta.5533263,+56 2 5514 4098,21730462,,Nocturno,Consalud,Full time,8
Sta. Cristian Camarillo Deleón,stcrcade634@outluc.com,dOn5nDMiRRM,sta.3343414,+56 9 2558 6849,29539236,,,,,3
José Eduardo Cedillo Ruiz,Joséruiz932@viajes.cl,tAFt4AisKqx,Joséruiz971,+56 2 4056 5990,24569121,,Diurno,Más vida,Full time,1
Sr. Silvia de Jesús Montes,Sr.montes861@viajes.cl,3Xr2f56iDa,srsidejemo978,+56 2 0648 9135,14147766,,Nocturno,Más vida,Part time,8
Diego Alvarez Rosado,Diegorosado418@viajes.cl,nUNw2464bKig,diego8858399,+56 9 1447 2474,25879151,,Diurno,Consalud,Part time,7
Felipe Delapaz Segovia,Felipesegovia888@viajes.cl,xxT1lABi,fedese141,+56 9 6170 4374,17526340,,Diurno,Banmédica,Full time,3
Diana Villaseñor Montero,Dianamontero898@viajes.cl,tdvgNZJUM7,divimo738,+56 2 7924 7029,14645448,,Nocturno,Colmena,Full time,8
Julio César Alonzo Godínez,jucéalgo727@outluc.com,rgO1ENzF3,Juliogodínez320,+56 2 9621 9676,14027028,,,,,8
Esteban Guillen Olivo,esguol423@viajes.cl,R2IHsxxqnH60ISoB,esteban5908423,+56 9 5438 8231,15594791,,Diurno,Fonasa,Part time,8
Margarita Quintanilla Segura,margarita8382853@tourket.com,luJVzU4eQR5MViVn,maquse678,+56 2 7541 4543,10195040,,,,,9
Adriana Ferrer Pagan,Adrianapagan314@viajes.cl,j3AbyJ1n,Adrianapagan757,+56 2 5457 3553,28441771,,Diurno,Consalud,Full time,2
María Soledad Valdez Mares,masovama326@viajes.cl,RcXUFQ7x403Yrel,Maríamares793,+56 2 6444 8548,13339307,,Diurno,Consalud,Part time,2
Marco Antonio Zamudio Tejeda,Marcotejeda365@viajesanma.com,x2dpcq5LNrZi5dC,marco8031856,+56 2 5810 3237,23049174,,,,,7
Sta. Manuel Cuellar Miranda,Sta.miranda323@viajes.cl,E8MrGoDa,sta.8418119,+56 2 5218 8921,14286471,,Diurno,Banmédica,Part time,1
Agustín Delgadillo Casárez,agdeca352@tourket.com,4y7qzim5Z,agustín1813844,+56 9 4108 3076,21281957,,,,,3
Nicolás Lozano Cardona,Nicoláscardona792@viajes.cl,vad6v2xP,Nicoláscardona969,+56 9 5686 8715,22348099,,Diurno,Más vida,Full time,3
Alberto Arguello Osorio,Albertoosorio573@viajes.cl,Qy0pPhhWY,alberto5957880,+56 2 3490 2059,29233366,,Nocturno,Consalud,Part time,8
Dorotea Mondragón Garibay,dorotea5846964@viajes.cl,y2ZIrP73eBAzCzR,dorotea1323843,+56 9 8142 1555,19534452,,Diurno,Fonasa,Full time,3
Lucas Riojas Serrano,lucas2379246@viajes.cl,0HyLlYtw7kZ,lucas5195703,+56 9 6048 5811,24812879,,Diurno,Colmena,Full time,8
Sta. Dolores Acevedo Sotelo,sta.4694721@viajes.cl,Rk7oPvj3z9JzVct,Sta.sotelo754,,25902403,,Nocturno,,Part time,K
Gerardo Rocha Reynoso,gerore970@edubus.cal,bzta4EgNH,Gerardoreynoso480,+56 2 3750 4440,14155325,,,,,9
José Eduardo Medina Candelaria,josé5816190@viajes.cl,3Fl9mr0T,josé2728244,+56 2 2806 0458,12079194,,Diurno,,Part time,K
Carmen Castañeda Ochoa,carmen9290607@viajes.cl,7Kw2FSum38Ae,Carmenochoa723,+56 2 3231 6559,17964251,,Nocturno,Colmena,Part time,4
Gabriela Vega Alcaraz,Gabrielaalcaraz113@marmol.com,j6R0sYdUz0g2gZF,gabriela4378903,+56 2 8588 5365,10036640,-10313,,,,1
Sra. Micaela Duran Meraz,srmidume595@viajes.cl,iKrWbR45,Sra.meraz530,+56 2 5916 8338,14460973,,Nocturno,,Full time,5
Leticia Salcedo Mena,leticia6431720@viajes.cl,RCtz1lxedGgfP,leticia4067982,+56 9 5337 1011,18071945,,Nocturno,Banmédica,Part time,8
Sta. Adriana Porras Banda,sta.960821@marmol.com,ZNhl9xCv,stadpoba322,+56 9 5257 2019,11743188,-10561,,,,6
Isabela Carranza Monroy,iscamo647@viajes.cl,rZ0kgh3Uo9inQ,isabela9162405,+56 9 6238 1393,15154208,,Nocturno,Banmédica,Part time,5
Mayte Bermúdez Lerma,mayte4540774@viajes.cl,qUtCs9kDDAeu4541,mayte6694351,+56 2 5445 2034,18102671,,Nocturno,Colmena,Part time,5
Isabela Reyna Lucero,isrelu647@viajes.cl,woaU5XCNgHLJnfQ,isrelu509,+56 9 9892 0909,22597052,,Diurno,Colmena,Part time,1
Ramón Cordero Flores,racofl956@viajes.cl,FNSR5nmqZF,racofl649,+56 2 7294 8497,27843718,,Nocturno,Colmena,Part time,3
Sra. Antonia Almaraz Franco,Sra.franco636@viajes.cl,gzm173Tt,sra.7332774,+56 2 0811 0126,26816970,,Nocturno,Banmédica,Part time,9
Sra. Gustavo Narváez Collado,Sra.collado965@viajes.cl,CBXL7xQF3j5ITZ,Sra.collado334,+56 9 0011 4631,20932258,,Diurno,Banmédica,Full time,7
Maricarmen Zelaya Haro,mazeha128@viajes.cl,n5sVgGH7Fj,Maricarmenharo431,,18168796,,Nocturno,Colmena,Full time,7
Beatriz Benavides Centeno,bebece359@viajes.cl,kZTPo1RZ1jqY,bebece656,+56 2 9520 5524,29925071,,Nocturno,Consalud,Full time,7
Virginia Balderas Solano,virginia9404929@viajes.cl,FGG5CodgW,virginia4439551,+56 9 7686 4331,26005779,,Diurno,Consalud,Part time,0
Joaquín Hidalgo Sierra,johisi671@viajes.cl,2zDVGwYX,joaquín9253597,+56 2 7869 9994,20682259,,Diurno,Colmena,Part time,7
Ana María Abreu Carrion,ana252565@viajes.cl,W3Gmx0UKR,anmaabca957,+56 2 7010 8309,22801092,,Nocturno,Consalud,Part time,8
Ángela Carrion Valladares,áncava459@viajes.cl,50GUGGiqaii,áncava189,+56 2 6546 0303,27456563,,Diurno,Colmena,Full time,2
Sr. Guillermo Quiñónez Lira,Sr.lira601@viajes.cl,K4DSJkhMjgVGK,Sr.lira981,+56 9 5589 1901,14680445,,Nocturno,Colmena,Part time,4
Rebeca Cantú Muñiz,Rebecamuñiz897@viajes.cl,htXBjCWra6A,Rebecamuñiz541,+56 9 2122 0144,25169412,,Nocturno,Más vida,,5
Juan Carlos Tejeda Pedraza,Juanpedraza550@tourket.com,q2AfK4PWIruoL,Juanpedraza264,+56 2 9208 9277,27519711,,,,,4
César Rivas Miramontes,césar9364118@viajes.cl,7a1PnYRp,césar9195628,+56 9 3488 1224,12797813,,Diurno,,Full time,1
Sr. Carlota Ortiz Ontiveros,Sr.ontiveros442@viajes.cl,ELBrDbkb5H,Sr.ontiveros654,+56 2 7383 2852,11588403,,Nocturno,Más vida,Part time,4
Juan Moreno Núñez,juan3320373@wass.com,Rn7wr0ebt3,juan8175834,+56 2 8633 4762,19697524,-7899,,,,1
Felipe Alfaro Carvajal,fealca570@outluc.com,Q7RpNoZHCRrF,Felipecarvajal554,+56 2 3301 7053,19047786,,,,,K
Sra. Gloria Macías Barragán,sra.5975480@viajes.cl,Ww7d19T51tzPlyt,Sra.barragán664,,25149604,,Diurno,Colmena,Part time,8
Sta. Lola Prieto Manzanares,sta.6684379@viajes.cl,BK9ahxK7K,Sta.manzanares561,+56 9 3065 8306,16000514,,Nocturno,Colmena,Full time,9
Diego Luevano Ballesteros,Diegoballesteros437@viajes.cl,ZTa4k4ERiIod,diluba158,+56 9 2117 0043,29516932,,Diurno,Consalud,Part time,K
Sr. Tomás Benavides Alonzo,srtobeal705@outluc.com,DR359sIx6X,Sr.alonzo975,+56 2 4489 9251,14691416,-8484,,,,0
Jacobo Romo Tamayo,jacobo2952233@viajes.cl,MYMYzkUn33,Jacobotamayo575,+56 2 1658 9677,24247116,,Nocturno,Consalud,Full time,4
Clemente Lira Ibarra,clliib153@viajes.cl,d6Ol6o84NSWJIzf,clliib492,+56 9 1411 9775,28671282,,Diurno,Banmédica,Full time,7
Irene Sierra Contreras,irsico133@viajes.cl,m0xw9CzV7,irsico563,+56 2 8003 1219,18019529,,Diurno,Fonasa,Full time,7
Inés Luna Noriega,inés1671557@viajes.cl,Kb8RbsutEWsj2,inluno692,+56 2 0165 5810,20286532,,Diurno,Colmena,Full time,1
Concepción Montero Rodríguez,concepción1161816@viajes.cl,8y6iI5nTUKUSmhQJ,Concepciónrodríguez524,+56 9 1478 7760,26933390,,Diurno,Consalud,Full time,1
Marco Antonio Cabán Regalado,maancare777@viajes.cl,5Y4Pvl6f,marco6865558,+56 9 6862 8089,29652167,,Nocturno,Más vida,Part time,1
Marisol Barajas Delagarza,marisol5505335@viajes.cl,ny2X4ZrKIcevbxob,marisol8851135,+56 9 4025 4949,17858542,,Nocturno,Más vida,Full time,8
Horacio Ochoa Zúñiga,Horaciozúñiga110@edubus.cal,fVz1eIesXk,Horaciozúñiga429,+56 9 2292 7008,18862124,-5333,,,,4
Andrea Colunga Leal,ancole362@viajesanma.com,5SVxM8vNKP2,andrea5621947,+56 2 3984 3529,23402869,,,,,3
Mario Madrigal Zamora,mario9200187@viajes.cl,WZasHtk5YcFh2T,mario5757745,+56 2 1232 0248,11061215,,Diurno,Más vida,Part time,K
Mónica Maya Villa,mónica1582901@viajes.cl,dno6AXb3uTa3,Mónicavilla245,+56 9 0290 7245,11831029,,Nocturno,Fonasa,Part time,2
Pedro Chacón Olivárez,Pedroolivárez339@viajes.cl,SIbNsvXLV7Umn01B,Pedroolivárez694,+56 2 3385 6885,26106539,,Diurno,Colmena,Part time,8
Cristina Alarcón Tijerina,Cristinatijerina877@viajes.cl,8Vs2gQDT,cristina3015496,+56 2 1051 5238,16880283,,Diurno,Consalud,Full time,8
Marco Antonio Montalvo Haro,Marcoharo601@viajes.cl,3TJ0COom44LS,marco9580535,+56 9 2479 2068,13667578,,Nocturno,Más vida,Full time,8
Sta. Jerónimo Tirado Longoria,stjetilo156@viajes.cl,9DjfEmD2oJAF,stjetilo487,+56 9 3509 8480,19394301,,Diurno,Fonasa,Part time,2
José Eduardo Delatorre Castañeda,Josécastañeda430@viajes.cl,X5DYjB0ua2Bs,josé6340955,+56 9 3041 6162,20766403,,Diurno,Consalud,Full time,0
Sancho Parra Ponce,Sanchoponce341@viajes.cl,p2bU3R6jRwpy,sancho300707,+56 2 9181 4698,23939078,,Nocturno,Colmena,Part time,1
Alfonso Delgado Vanegas,Alfonsovanegas280@viajes.cl,fJUKp8FTHKUJ,Alfonsovanegas194,+56 9 1417 9162,27334003,,Nocturno,Fonasa,Full time,3
Lola de Anda Cervántez,Lolacervántez866@viajes.cl,WI8R86XMnf7hyZ,lodeance482,+56 2 4824 9594,16220878,,Diurno,Colmena,Part time,0
Sra. Jesús Perea Urbina,srjepeur438@viajes.cl,5p34rQ4XHk2m,srjepeur962,+56 9 7924 8301,27997326,,Nocturno,Más vida,Full time,7
Ramiro Rendón Orozco,Ramiroorozco712@viajes.cl,o4AAhsbhL7apEzjS,rareor186,+56 2 4152 1768,29586686,,Nocturno,Consalud,Full time,1
Rebeca Trujillo Partida,rebeca2742263@viajes.cl,L3ffUrXBX3,Rebecapartida444,+56 2 5646 6395,29115393,,Diurno,Fonasa,Full time,3
Eduardo Cavazos Mondragón,Eduardomondragón246@viajesanma.com,SOz8gAPxuoxpKtAk,Eduardomondragón255,+56 9 9638 7650,19486045,,,,,5
